id,DEPARTAMENTO,PROVINCIA,MUNICIPIO,CODIGO,Captura.ca,Riqueza.es,Abu.rrhh,Ap.suelo,Minero,Piscicol,Turismo,Agro.inten,Agro.exten,Agrosilvo,Ap.fores,Uso.limit,R.actv.prd,Acc.agua,Acc.salud,Acc.edu,Acc.vivien,Acc.EE,Clasificac,porc_i.CSV,longitude,latitude
1,Chuquisaca,Oropeza,Sucre,10101,6,45,8,56,5,0,27,2,2,8,3,0,12,42,34,37,28,46,Muy Bajo,26,-65.260,-19.047
2,Chuquisaca,Oropeza,Yotala,10102,4,33,6,47,11,0,26,15,1,32,3,0,13,42,28,36,27,46,Muy Bajo,31,-65.264,-19.162
3,Chuquisaca,Oropeza,Poroma,10103,10,55,10,56,16,45,26,1,5,0,4,0,12,43,36,39,30,49,Bajo,34,-65.425,-18.538
4,Chuquisaca,Azurduy,Azurduy,10201,28,66,15,60,16,60,25,0,0,0,8,0,14,42,38,36,24,41,Medio,39,-64.414,-20.106
5,Chuquisaca,Azurduy,Tarvita,10202,11,45,8,59,24,45,25,1,1,3,5,0,14,42,29,35,26,45,Bajo,34,-64.484,-19.926
6,Chuquisaca,Zudañez,Zudañez,10301,4,12,6,54,3,0,0,13,1,35,3,0,10,43,27,36,30,43,Muy Bajo,22,-64.699,-19.120
7,Chuquisaca,Zudañez,Presto,10302,10,55,10,56,16,45,0,2,6,4,4,0,11,41,29,35,27,43,Muy Bajo,29,-64.937,-18.930
8,Chuquisaca,Zudañez,Mojocoya,10303,9,57,7,57,9,0,0,0,0,0,1,0,11,41,31,34,25,39,Muy Bajo,19,-64.618,-18.763
9,Chuquisaca,Zudañez,Icla,10304,7,59,12,54,20,45,25,0,0,50,4,0,11,44,33,37,28,44,Medio,43,-64.793,-19.363
10,Chuquisaca,Tomina,Padilla,10401,20,56,11,53,17,60,25,35,5,29,11,0,10,44,28,35,26,42,Alto,49,-64.302,-19.307
11,Chuquisaca,Tomina,Tomina,10402,5,43,8,55,5,44,0,0,0,0,9,0,9,41,31,36,26,45,Muy Bajo,24,-64.461,-19.185
12,Chuquisaca,Tomina,Sopachuy,10403,6,45,8,56,14,0,0,2,0,0,5,0,11,42,26,37,36,45,Muy Bajo,19,-64.475,-19.487
13,Chuquisaca,Tomina,Villa Alcalá,10404,5,40,7,54,12,0,0,7,1,4,5,0,12,44,20,36,31,47,Muy Bajo,20,-64.389,-19.366
14,Chuquisaca,Tomina,El Villar,10405,26,60,12,56,22,44,24,0,0,0,9,0,12,42,16,33,29,44,Bajo,35,-64.310,-19.629
15,Chuquisaca,Hernando Siles,Monteagudo,10501,19,57,11,59,18,67,24,37,2,33,11,0,11,40,25,33,25,44,Muy Alto,52,-63.955,-19.800
16,Chuquisaca,Hernando Siles,Huacareta,10502,24,59,12,56,20,67,24,0,0,1,11,0,9,40,33,37,25,48,Medio,39,-64.003,-20.367
17,Chuquisaca,Yamparaez,Tarabuco,10601,4,45,8,57,24,0,23,14,8,43,1,0,12,43,35,39,34,45,Medio,37,-64.915,-19.181
18,Chuquisaca,Yamparaez,Yamparáez,10602,5,33,6,56,3,0,23,41,3,50,5,0,13,46,36,39,28,45,Medio,39,-65.118,-19.189
19,Chuquisaca,Nor Cinti,Camargo,10701,6,65,12,58,22,44,23,1,1,100,5,0,14,43,26,38,34,47,Muy Alto,53,-65.210,-20.641
20,Chuquisaca,Nor Cinti,San Lucas,10702,9,51,14,57,25,44,23,18,11,98,4,0,11,43,36,38,29,43,Muy Alto,57,-65.134,-20.102
21,Chuquisaca,Nor Cinti,Incahuasi,10703,22,59,12,56,10,60,23,47,33,1,10,0,14,44,34,36,23,44,Muy Alto,51,-64.867,-20.784
22,Chuquisaca,Nor Cinti,Villa Charcas,10704,5,40,7,64,4,44,23,1,1,16,7,0,14,42,32,35,23,45,Bajo,32,-64.886,-20.725
23,Chuquisaca,Belisario Boeto,Villa Serrano,10801,12,39,7,54,22,60,22,29,2,39,11,0,10,42,33,37,27,44,Alto,47,-64.323,-19.123
24,Chuquisaca,Sur Cinti,Camataqui,10901,6,64,8,50,26,44,22,66,8,52,7,0,13,45,31,39,32,46,Muy Alto,58,-65.231,-20.974
25,Chuquisaca,Sur Cinti,Culpina,10902,25,60,13,53,22,70,52,0,23,4,10,0,11,41,35,37,26,45,Muy Alto,50,-64.943,-20.824
26,Chuquisaca,Sur Cinti,Las Carreras,10903,5,59,11,52,19,44,52,0,0,9,8,0,10,42,31,38,33,46,Medio,41,-65.207,-21.211
27,Chuquisaca,Luis Calvo,Villa Vaca Guzmán,11001,14,39,7,59,12,60,21,5,2,24,9,0,12,42,33,36,29,42,Medio,38,-63.749,-19.893
28,Chuquisaca,Luis Calvo,Huacaya,11002,23,59,7,54,11,43,0,2,1,1,4,0,12,43,31,35,22,43,Muy Bajo,28,-63.665,-20.744
29,Chuquisaca,Luis Calvo,Macharetí,11003,20,58,7,56,10,55,0,70,16,26,4,0,11,44,35,38,28,44,Muy Alto,50,-63.361,-20.815
30,La Paz,Murillo,La Paz,20101,22,57,52,58,50,67,0,89,7,13,12,0,17,42,34,37,29,44,Muy Alto,65,-68.135,-16.494
31,La Paz,Murillo,Palca,20102,9,56,42,76,49,43,52,0,0,0,2,0,0,44,35,37,25,43,Alto,48,-67.953,-16.561
32,La Paz,Murillo,Mecapaca,20103,5,58,23,62,18,43,52,1,3,2,4,0,0,42,40,39,30,45,Medio,42,-68.028,-16.666
33,La Paz,Murillo,Achocalla,20104,5,70,42,52,29,0,21,32,1,46,2,0,0,43,36,34,29,28,Alto,46,-68.167,-16.575
34,La Paz,Murillo,El Alto,20105,5,60,55,56,45,59,21,18,22,28,2,0,9,42,36,37,25,42,Muy Alto,56,-68.173,-16.495
